Sl No,VIN,ECU Under Test,Deployment Status,Deployment start time,Deployment end time
31,MD2B35306NCC18391,TEL,UPDATE SKIPPED,2022-07-01T08:46:31Z,2022-07-01T08:48:35Z
32,MD2B35304NCC18194,TEL,UPDATE SKIPPED,2022-07-01T08:35:02Z,2022-07-01T08:38:10Z
33,MD2B35302NCC18193,TEL,UPDATE SKIPPED,2022-07-01T08:30:59Z,2022-07-01T09:00:08Z
34,MD2B35300NCC18192,TEL,REQUEST_PENDING,2022-07-01T08:27:32Z,None
35,MD2B35309NCC18191,TEL,REQUEST_PENDING,2022-07-01T08:23:44Z,None
36,MD2B35307NCC18190,TEL,UPDATE SKIPPED,2022-07-01T08:19:35Z,2022-07-01T08:49:52Z
37,MD2B35300NCC18189,TEL,UPDATE SKIPPED,2022-07-01T08:15:28Z,2022-07-01T08:17:38Z
38,MD2B35309NCC18188,TEL,REQUEST_PENDING,2022-07-01T08:12:23Z,None
39,MD2B35307NCC18187,TEL,UPDATE SKIPPED,2022-07-01T08:09:32Z,2022-07-01T09:35:36Z
40,MD2B35305NCC18186,TEL,REQUEST_PENDING,2022-07-01T08:02:52Z,None
41,MD2B35303NCC18185,TEL,REQUEST_PENDING,2022-07-01T07:58:30Z,None
42,MD2B35301NCC18184,TEL,REQUEST_PENDING,2022-07-01T07:44:36Z,None
43,MD2B3530XNCC18183,TEL,REQUEST_PENDING,2022-07-01T07:37:22Z,None
44,MD2B35308NCC18182,TEL,UPDATE SKIPPED,2022-07-01T07:33:28Z,2022-07-01T08:24:42Z
45,MD2B35306NCC18181,TEL,UPDATE SKIPPED,2022-07-01T07:28:10Z,2022-07-01T09:23:48Z
46,MD2B35304NCC18180,TEL,REQUEST_PENDING,2022-07-01T07:24:19Z,None
47,MD2B35308NCC18179,TEL,UPDATE SKIPPED,2022-07-01T07:21:27Z,2022-07-01T09:16:38Z
48,MD2B35306NCC18178,TEL,REQUEST_PENDING,2022-07-01T07:16:47Z,None
49,MD2B35304NCC18177,TEL,UPDATE SKIPPED,2022-07-01T07:14:26Z,2022-07-01T09:25:39Z
50,MD2B35302NCC18176,TEL,REQUEST_PENDING,2022-07-01T07:07:29Z,None
51,MD2B35300NCC18175,TEL,REQUEST_PENDING,2022-07-01T07:03:40Z,None
52,MD2B35307NCC18173,TEL,REQUEST_PENDING,2022-07-01T06:59:38Z,None
53,MD2B35309NCC18174,TEL,UPDATE SKIPPED,2022-07-01T06:55:33Z,2022-07-01T10:59:45Z
54,MD2B35303NCC18171,TEL,UPDATE SKIPPED,2022-07-01T06:42:12Z,2022-07-01T08:34:12Z
55,MD2B35300NCC16653,TEL,REQUEST_PENDING,2022-07-01T06:42:10Z,None
56,MD2B35301NCC18170,TEL,REQUEST_PENDING,2022-07-01T06:36:17Z,None
57,MD2B35305NCC18169,TEL,REQUEST_PENDING,2022-07-01T06:31:27Z,None
58,MD2B35303NCC18168,TEL,REQUEST_PENDING,2022-07-01T06:26:37Z,None
59,MD2B3530XNCC18166,TEL,REQUEST_PENDING,2022-07-01T06:17:49Z,None
60,MD2B35308NCC18165,TEL,UPDATE SKIPPED,2022-07-01T06:15:09Z,2022-07-01T11:34:29Z
61,MD2B35306NCC18164,TEL,REQUEST_PENDING,2022-07-01T06:10:19Z,None
62,MD2B35308NCC16660,TEL,REQUEST_PENDING,2022-07-01T06:06:44Z,None
63,MD2B3530XNCC16661,TEL,UPDATE SKIPPED,2022-07-01T06:00:52Z,2022-07-01T09:03:47Z
64,MD2B35304NCC18017,TEL,REQUEST_PENDING,2022-07-01T05:59:13Z,None
65,MD2B35308NCC16657,TEL,REQUEST_PENDING,2022-07-01T05:47:42Z,None
66,MD2B35306NCC16656,TEL,REQUEST_PENDING,2022-07-01T05:44:23Z,None
67,MD2B35300NCC18385,TEL,REQUEST_PENDING,2022-07-01T04:30:59Z,None
68,MD2B35308NCC18392,TEL,REQUEST_PENDING,2022-07-01T04:29:57Z,None
69,MD2B35305NCC18379,TEL,REQUEST_PENDING,2022-07-01T04:24:53Z,None
70,MD2B35305NCC18382,TEL,REQUEST_PENDING,2022-07-01T04:23:15Z,None
71,MD2B35306NCC18276,TEL,REQUEST_PENDING,2022-07-01T04:12:06Z,None
72,MD2B35304NCC16025,TEL,REQUEST_PENDING,2022-07-01T04:05:33Z,None
73,MD2B35303NCC18011,TEL,REQUEST_PENDING,2022-07-01T03:26:45Z,None
74,MD2B35300NCC16619,TEL,REQUEST_PENDING,2022-07-01T03:18:54Z,None
75,MD2B35309NCC17705,TEL,UPDATE SKIPPED,2022-07-01T01:28:09Z,2022-07-01T01:31:24Z
76,MD2B35308NCC17758,TEL,UPDATE SKIPPED,2022-06-30T19:38:19Z,2022-06-30T19:42:12Z
77,MD2B35304NCC17756,TEL,UPDATE SKIPPED,2022-06-30T19:30:21Z,2022-06-30T19:33:27Z
78,MD2B3530XNCC17762,TEL,UPDATE SKIPPED,2022-06-30T19:23:49Z,2022-06-30T19:28:19Z
79,MD2B3530XNCC17759,TEL,UPDATE SKIPPED,2022-06-30T18:48:53Z,2022-06-30T18:54:58Z
80,MD2B35307NCC17766,TEL,UPDATE SKIPPED,2022-06-30T18:44:50Z,2022-06-30T18:51:05Z
81,MD2B35302NCC17576,TEL,UPDATE SKIPPED,2022-06-30T18:36:47Z,2022-06-30T18:40:57Z
82,MD2B3530XNCC17583,TEL,UPDATE SKIPPED,2022-06-30T18:30:25Z,2022-06-30T18:37:42Z
83,MD2B35306NCC17421,TEL,UPDATE SKIPPED,2022-06-30T18:29:42Z,2022-06-30T18:34:58Z
84,MD2B35300NCC17575,TEL,UPDATE SKIPPED,2022-06-30T18:22:19Z,2022-06-30T18:24:20Z
85,MD2B35308NCC18019,TEL,REQUEST_PENDING,2022-06-30T18:07:26Z,None
86,MD2B35307NCC18450,TEL,UPDATE SKIPPED,2022-06-30T18:01:35Z,2022-06-30T18:04:40Z
87,MD2B35307NCC18416,TEL,REQUEST_PENDING,2022-06-30T17:54:47Z,None
88,MD2B35305NCC16647,TEL,REQUEST_PENDING,2022-06-30T17:53:03Z,None
89,MD2B35306NCC18018,TEL,REQUEST_PENDING,2022-06-30T17:46:52Z,None
90,MD2B35307NCC18139,TEL,REQUEST_PENDING,2022-06-30T17:43:47Z,None
91,MD2B35302NCC18016,TEL,REQUEST_PENDING,2022-06-30T17:39:18Z,None
92,MD2B35303NCC17960,TEL,UPDATE SKIPPED,2022-06-30T17:32:57Z,2022-06-30T17:35:01Z
93,MD2B35304NCC18440,TEL,UPDATE SKIPPED,2022-06-30T17:29:52Z,2022-06-30T17:34:41Z
94,MD2B35307NCC17959,TEL,REQUEST_PENDING,2022-06-30T17:23:08Z,None
95,MD2B35309NCC18465,TEL,UPDATE SKIPPED,2022-06-30T17:21:24Z,2022-06-30T17:27:10Z
96,MD2B35306NCC17953,TEL,REQUEST_PENDING,2022-06-30T17:15:47Z,None
97,MD2B35301NCC17956,TEL,UPDATE SKIPPED,2022-06-30T17:06:46Z,2022-06-30T17:10:58Z
98,MD2B35305NCC17961,TEL,UPDATE SKIPPED,2022-06-30T16:51:17Z,2022-06-30T17:09:51Z
99,MD2B3530XNCC17955,TEL,UPDATE SKIPPED,2022-06-30T16:44:50Z,2022-06-30T17:05:18Z
100,MD2B35308NCC17954,TEL,UPDATE SKIPPED,2022-06-30T16:39:12Z,2022-06-30T16:42:34Z
101,MD2B35303NCC17764,TEL,UPDATE SKIPPED,2022-06-30T16:38:43Z,2022-06-30T16:40:47Z
102,MD2B35304NCC16641,TEL,REQUEST_PENDING,2022-06-30T16:33:55Z,None
103,MD2B35304NCC17952,TEL,UPDATE SKIPPED,2022-06-30T16:32:55Z,2022-06-30T16:40:17Z
104,MD2B35305NCC17958,TEL,UPDATE SKIPPED,2022-06-30T16:27:10Z,2022-06-30T16:36:38Z
105,MD2B35304NCC17949,TEL,UPDATE SKIPPED,2022-06-30T16:26:16Z,2022-07-01T17:15:33Z
106,MD2B35305NCC18009,TEL,REQUEST_PENDING,2022-06-30T16:20:53Z,None
107,MD2B35305NCC18107,TEL,REQUEST_PENDING,2022-06-30T16:20:05Z,None
108,MD2B35301NCC18105,TEL,UPDATE SKIPPED,2022-06-30T16:11:53Z,2022-06-30T16:24:04Z
109,MD2B35308NCC17761,TEL,UPDATE SKIPPED,2022-06-30T16:05:23Z,2022-06-30T16:21:43Z
110,MD2B35301NCC16631,TEL,UPDATE SKIPPED,2022-06-30T15:53:12Z,2022-06-30T16:11:14Z
111,MD2B35305NCC17765,TEL,UPDATE SKIPPED,2022-06-30T15:33:43Z,2022-06-30T15:57:07Z
112,MD2B35302NCC17755,TEL,UPDATE SKIPPED,2022-06-30T15:27:59Z,2022-06-30T15:46:35Z
113,MD2B35301NCC17763,TEL,UPDATE SKIPPED,2022-06-30T15:26:31Z,2022-06-30T15:29:36Z
114,MD2B35306NCC17760,TEL,UPDATE SKIPPED,2022-06-30T15:00:39Z,2022-06-30T15:05:50Z
115,MD2B35300NCC17897,TEL,REQUEST_PENDING,2022-06-30T14:52:05Z,None
116,MD2B35306NCC16642,TEL,UPDATE SKIPPED,2022-06-30T13:58:35Z,2022-06-30T14:00:42Z
117,MD2B35300NCC18015,TEL,UPDATE SKIPPED,2022-06-30T13:58:02Z,2022-06-30T14:40:07Z
118,MD2B3530XNCC16630,TEL,UPDATE SKIPPED,2022-06-30T13:20:34Z,2022-06-30T13:23:34Z
119,MD2B35305NCC18494,TEL,REQUEST_PENDING,2022-06-30T13:15:46Z,None
120,MD2B35304NCC17613,TEL,UPDATE SKIPPED,2022-06-30T13:09:45Z,2022-06-30T13:15:14Z
121,MD2B35301NCC18119,TEL,UPDATE SKIPPED,2022-06-30T13:07:17Z,2022-06-30T13:12:57Z
122,MD2B35301NCC18010,TEL,UPDATE SKIPPED,2022-06-30T13:02:35Z,2022-06-30T13:05:34Z
123,MD2B35305NCC16650,TEL,UPDATE SKIPPED,2022-06-30T12:29:42Z,2022-06-30T12:31:43Z
124,MD2B35304NCC18387,TEL,REQUEST_PENDING,2022-06-30T12:23:44Z,None
125,MD2B35309NCC16649,TEL,REQUEST_PENDING,2022-06-30T12:22:39Z,None
126,MD2B35301NCC17584,TEL,UPDATE SKIPPED,2022-06-30T12:04:13Z,2022-06-30T12:10:31Z
127,MD2B35307NCC16648,TEL,UPDATE SKIPPED,2022-06-30T12:03:19Z,2022-06-30T12:06:29Z
128,MD2B35301NCC18380,TEL,UPDATE SKIPPED,2022-06-30T11:57:35Z,2022-06-30T13:10:06Z
129,MD2B35303NCC16646,TEL,REQUEST_PENDING,2022-06-30T11:55:18Z,None
130,MD2B35301NCC16645,TEL,REQUEST_PENDING,2022-06-30T11:52:00Z,None
131,MD2B3530XNCC16644,TEL,REQUEST_PENDING,2022-06-30T11:48:02Z,None
132,MD2B35301NCB15671,TEL,UPDATE SKIPPED,2022-06-30T11:45:50Z,2022-07-01T13:49:10Z
133,MD2B35308NCC17484,TEL,UPDATE SKIPPED,2022-06-30T11:41:58Z,2022-06-30T14:39:41Z
134,MD2B35308NCC16643,TEL,UPDATE SKIPPED,2022-06-30T11:40:26Z,2022-06-30T11:43:21Z
135,MD2B35302NCC16640,TEL,UPDATE SKIPPED,2022-06-30T11:30:41Z,2022-06-30T11:33:42Z
136,MD2B35306NCC16639,TEL,UPDATE SKIPPED,2022-06-30T11:25:59Z,2022-06-30T11:28:00Z
137,MD2B35304NCC16638,TEL,UPDATE SKIPPED,2022-06-30T11:21:11Z,2022-06-30T11:26:23Z
138,MD2B35303NCC17778,TEL,UPDATE SKIPPED,2022-06-30T11:17:30Z,2022-06-30T11:23:41Z
139,MD2B35302NCC16637,TEL,UPDATE SKIPPED,2022-06-30T11:14:15Z,2022-06-30T11:16:14Z
140,MD2B35300NCC16636,TEL,UPDATE SKIPPED,2022-06-30T11:10:11Z,2022-06-30T11:13:13Z
141,MD2B35309NCC16635,TEL,REQUEST_PENDING,2022-06-30T11:06:34Z,None
142,MD2B35300NCC17589,TEL,UPDATE SKIPPED,2022-06-30T11:04:42Z,2022-06-30T11:06:45Z
143,MD2B35305NCC16633,TEL,REQUEST_PENDING,2022-06-30T10:56:04Z,None
144,MD2B35308NCC18389,TEL,UPDATE SKIPPED,2022-06-30T10:49:19Z,2022-06-30T16:07:33Z
145,MD2B35303NCC16632,TEL,UPDATE SKIPPED,2022-06-30T10:49:11Z,2022-06-30T10:53:30Z
146,MD2B35303NCC16629,TEL,UPDATE SKIPPED,2022-06-30T10:30:12Z,2022-06-30T10:32:18Z
147,MD2B35305NCC17667,TEL,UPDATE SKIPPED,2022-06-30T10:27:02Z,2022-06-30T10:32:14Z
148,MD2B35306NCC17628,TEL,UPDATE SKIPPED,2022-06-30T10:13:32Z,2022-06-30T10:16:42Z
149,MD2B35301NCC16628,TEL,UPDATE SKIPPED,2022-06-30T10:12:38Z,2022-06-30T10:24:42Z
150,MD2B35307NCC17587,TEL,REQUEST_PENDING,2022-06-30T09:43:02Z,None
151,MD2B3530XNCC16627,TEL,REQUEST_PENDING,2022-06-30T09:42:16Z,None
152,MD2B35306NCC16625,TEL,REQUEST_PENDING,2022-06-30T09:27:43Z,None
153,MD2B35306NCC17578,TEL,UPDATE SKIPPED,2022-06-30T09:26:45Z,2022-06-30T09:29:57Z
154,MD2B35304NCC16624,TEL,UPDATE SKIPPED,2022-06-30T09:21:40Z,2022-06-30T09:24:45Z
155,MD2B35302NCC16623,TEL,REQUEST_PENDING,2022-06-30T09:17:47Z,None
156,MD2B35300NCC16622,TEL,UPDATE SKIPPED,2022-06-30T09:12:58Z,2022-06-30T14:46:30Z
157,MD2B35306NCC17581,TEL,UPDATE SKIPPED,2022-06-30T09:12:14Z,2022-06-30T09:17:51Z
158,MD2B35309NCC16621,TEL,UPDATE SKIPPED,2022-06-30T09:07:49Z,2022-06-30T09:38:39Z
159,MD2B35307NCC16620,TEL,UPDATE SKIPPED,2022-06-30T09:04:06Z,2022-06-30T09:36:17Z
160,MD2B35303NCC17585,TEL,UPDATE SKIPPED,2022-06-30T09:02:51Z,2022-06-30T09:04:53Z
161,MD2B35309NCC16618,TEL,REQUEST_PENDING,2022-06-30T08:54:19Z,None
162,MD2B35307NCC16617,TEL,UPDATE SKIPPED,2022-06-30T08:47:07Z,2022-06-30T09:20:07Z
163,MD2B35304NCC17577,TEL,UPDATE SKIPPED,2022-06-30T08:42:21Z,2022-06-30T08:48:45Z
164,MD2B35305NCC16616,TEL,UPDATE SKIPPED,2022-06-30T08:42:19Z,2022-06-30T09:16:53Z
165,MD2B35303NCC16615,TEL,UPDATE SKIPPED,2022-06-30T08:37:24Z,2022-06-30T08:39:21Z
166,MD2B35300NCC17706,TEL,UPDATE SKIPPED,2022-06-30T08:35:05Z,2022-06-30T08:37:01Z
167,MD2B35301NCC16614,TEL,REQUEST_PENDING,2022-06-30T08:33:34Z,None
168,MD2B3530XNCC16613,TEL,REQUEST_PENDING,2022-06-30T08:29:11Z,None
169,MD2B35304NCC17708,TEL,UPDATE SKIPPED,2022-06-30T08:25:51Z,2022-06-30T08:41:29Z
170,MD2B35308NCC16612,TEL,UPDATE SKIPPED,2022-06-30T08:24:54Z,2022-06-30T08:26:53Z
171,MD2B35306NCC16611,TEL,UPDATE SKIPPED,2022-06-30T08:19:10Z,2022-06-30T08:22:14Z
172,MD2B35305NCC17703,TEL,UPDATE SKIPPED,2022-06-30T08:17:20Z,2022-06-30T08:21:38Z
173,MD2B35304NCC16610,TEL,UPDATE SKIPPED,2022-06-30T08:15:14Z,2022-06-30T08:48:26Z
174,MD2B35302NCC17707,TEL,UPDATE SKIPPED,2022-06-30T08:04:06Z,2022-06-30T08:07:13Z
175,MD2B35304NCC17580,TEL,UPDATE SKIPPED,2022-06-30T07:45:43Z,2022-06-30T08:00:09Z
176,MD2B35308NCC16609,TEL,UPDATE SKIPPED,2022-06-30T07:42:08Z,2022-06-30T07:44:07Z
177,MD2B35306NCC16608,TEL,REQUEST_PENDING,2022-06-30T07:36:52Z,None
178,MD2B35308NCC18585,TEL,UPDATE SKIPPED,2022-06-30T07:31:52Z,2022-06-30T07:39:16Z
179,MD2B35304NCC16607,TEL,UPDATE SKIPPED,2022-06-30T07:28:01Z,2022-06-30T08:25:50Z
180,MD2B35301NCC18086,TEL,UPDATE SKIPPED,2022-06-30T07:22:55Z,2022-06-30T07:31:03Z
181,MD2B35300NCC16605,TEL,UPDATE SKIPPED,2022-06-30T07:22:52Z,2022-06-30T08:17:32Z
182,MD2B35302NCC16606,TEL,UPDATE SKIPPED,2022-06-30T07:17:01Z,2022-06-30T08:15:12Z
183,MD2B35309NCC17574,TEL,UPDATE SKIPPED,2022-06-30T07:13:29Z,2022-06-30T07:18:08Z
184,MD2B35309NCC16604,TEL,UPDATE SKIPPED,2022-06-30T07:08:48Z,2022-06-30T08:02:23Z
185,MD2B35301NCC16581,TEL,UPDATE SKIPPED,2022-06-30T07:05:03Z,2022-06-30T07:08:08Z
186,MD2B35307NCC16603,TEL,UPDATE SKIPPED,2022-06-30T07:04:00Z,2022-06-30T07:36:30Z
187,MD2B35305NCC16602,TEL,REQUEST_PENDING,2022-06-30T06:48:29Z,None
188,MD2B35303NCC16579,TEL,UPDATE SKIPPED,2022-06-30T06:48:03Z,2022-06-30T07:00:18Z
189,MD2B35303NCC16601,TEL,UPDATE SKIPPED,2022-06-30T06:43:16Z,2022-06-30T07:24:22Z
190,MD2B35303NCC18090,TEL,UPDATE SKIPPED,2022-06-30T06:38:07Z,2022-06-30T06:44:30Z
191,MD2B35301NCC16600,TEL,UPDATE SKIPPED,2022-06-30T06:35:20Z,2022-06-30T07:27:43Z
192,MD2B35309NCC16599,TEL,REQUEST_PENDING,2022-06-30T06:31:43Z,None
193,MD2B35305NCC17586,TEL,UPDATE SKIPPED,2022-06-30T06:30:01Z,2022-07-01T15:05:54Z
194,MD2B35308NCC17579,TEL,REQUEST_PENDING,2022-06-30T06:22:36Z,None
195,MD2B35307NCC16598,TEL,UPDATE SKIPPED,2022-06-30T06:22:34Z,2022-06-30T06:25:40Z
196,MD2B35305NCC16597,TEL,UPDATE SKIPPED,2022-06-30T06:11:24Z,2022-06-30T08:25:03Z
197,MD2B35303NCC17618,TEL,REQUEST_PENDING,2022-06-30T06:06:43Z,None
198,MD2B35303NCC16596,TEL,UPDATE SKIPPED,2022-06-30T06:04:18Z,2022-06-30T06:45:47Z
199,MD2B35308NCC17582,TEL,UPDATE SKIPPED,2022-06-30T06:02:18Z,2022-06-30T06:24:08Z
200,MD2B35301NCC16595,TEL,REQUEST_PENDING,2022-06-30T05:58:54Z,None
201,MD2B35300NCC17950,TEL,UPDATE SKIPPED,2022-06-30T05:55:10Z,2022-06-30T06:10:06Z
202,MD2B35308NCC16450,TEL,UPDATE SKIPPED,2022-06-30T05:51:59Z,2022-06-30T05:55:10Z
203,MD2B3530XNCC17941,TEL,UPDATE SKIPPED,2022-06-30T05:47:50Z,2022-06-30T05:51:21Z
204,MD2B35301NCC16449,TEL,UPDATE SKIPPED,2022-06-30T05:42:12Z,2022-06-30T06:15:39Z
205,MD2B35306NCC16589,TEL,UPDATE SKIPPED,2022-06-30T05:40:21Z,2022-06-30T05:43:08Z
206,MD2B3530XNCC16448,TEL,UPDATE SKIPPED,2022-06-30T05:00:18Z,2022-06-30T05:38:18Z
207,MD2B35306NCC17614,TEL,UPDATE SKIPPED,2022-06-30T04:52:37Z,2022-06-30T04:54:37Z
208,MD2B35308NCC16447,TEL,REQUEST_PENDING,2022-06-30T04:52:02Z,None
209,MD2B35306NCC16446,TEL,UPDATE SKIPPED,2022-06-30T04:47:31Z,2022-06-30T10:13:25Z
210,MD2B35300NCC17916,TEL,UPDATE SKIPPED,2022-06-30T04:42:47Z,2022-06-30T04:44:43Z
211,MD2B35304NCC16445,TEL,UPDATE SKIPPED,2022-06-30T04:41:55Z,2022-06-30T08:28:42Z
212,MD2B35304NCC17658,TEL,REQUEST_PENDING,2022-06-30T04:36:57Z,None
213,MD2B35308NCC17971,TEL,UPDATE SKIPPED,2022-06-30T04:35:24Z,2022-06-30T04:43:31Z
214,MD2B35306NCC17967,TEL,UPDATE SKIPPED,2022-06-30T04:25:06Z,2022-06-30T04:28:12Z
215,MD2B35306NCC17970,TEL,REQUEST_PENDING,2022-06-30T04:20:57Z,None
216,MD2B35304NCC16591,TEL,REQUEST_PENDING,2022-06-30T04:20:03Z,None
217,MD2B3530XNCC17681,TEL,UPDATE SKIPPED,2022-06-30T04:15:53Z,2022-06-30T04:18:54Z
218,MD2B3530XNCC17969,TEL,UPDATE SKIPPED,2022-06-30T04:12:03Z,2022-06-30T04:15:05Z
219,MD2B35308NCC17968,TEL,UPDATE SKIPPED,2022-06-30T04:06:46Z,2022-06-30T18:20:18Z
220,MD2B35304NCC17966,TEL,REQUEST_PENDING,2022-06-30T04:02:00Z,None
221,MD2B3530XNCC18393,TEL,UPDATE SKIPPED,2022-06-30T04:01:16Z,2022-06-30T04:03:16Z
222,MD2B35302NCC17965,TEL,REQUEST_PENDING,2022-06-30T03:56:50Z,None
223,MD2B35309NCC17963,TEL,UPDATE SKIPPED,2022-06-30T03:54:03Z,2022-06-30T10:37:42Z
224,MD2B35300NCC17267,TEL,UPDATE SKIPPED,2022-06-30T03:47:21Z,2022-06-30T11:30:30Z
225,MD2B35300NCC17964,TEL,UPDATE SKIPPED,2022-06-30T03:46:17Z,2022-06-30T04:19:49Z
226,MD2B35304NCC17062,TEL,UPDATE SKIPPED,2022-06-30T03:44:24Z,2022-06-30T03:52:55Z
227,MD2B35307NCC18013,TEL,REQUEST_PENDING,2022-06-30T03:41:57Z,None
228,MD2B3530XNCC17650,TEL,UPDATE SKIPPED,2022-06-30T03:35:15Z,2022-06-30T09:12:31Z
229,MD2B35307NCC16925,TEL,UPDATE SKIPPED,2022-06-30T03:29:05Z,2022-06-30T10:12:09Z
230,MD2B35308NCC17646,TEL,UPDATE SKIPPED,2022-06-30T03:24:18Z,2022-06-30T08:03:41Z
231,MD2B3530XNCC17678,TEL,UPDATE SKIPPED,2022-06-30T03:22:20Z,2022-06-30T07:45:39Z
232,MD2B35306NCC17659,TEL,UPDATE SKIPPED,2022-06-30T03:17:58Z,2022-06-30T03:25:02Z
233,MD2B35306NCC18469,TEL,REQUEST_PENDING,2022-06-30T03:16:41Z,None
234,MD2B35301NCC17102,TEL,UPDATE SKIPPED,2022-06-30T03:02:19Z,2022-06-30T03:18:21Z
235,MD2B3530XNCC17616,TEL,UPDATE SKIPPED,2022-06-30T02:57:25Z,2022-06-30T03:53:12Z
236,MD2B35301NCC17665,TEL,UPDATE SKIPPED,2022-06-30T02:45:03Z,2022-06-30T02:54:31Z
237,MD2B35305NCC17653,TEL,UPDATE SKIPPED,2022-06-30T02:42:27Z,2022-06-30T09:13:04Z
238,MD2B35301NCC17651,TEL,UPDATE SKIPPED,2022-06-30T02:37:48Z,2022-06-30T08:14:44Z
239,MD2B35305NCC17670,TEL,UPDATE SKIPPED,2022-06-30T02:36:15Z,2022-06-30T02:46:33Z
240,MD2B35307NCC17640,TEL,UPDATE SKIPPED,2022-06-30T02:24:50Z,2022-06-30T02:29:00Z
241,MD2B35306NCC18004,TEL,UPDATE SKIPPED,2022-06-30T01:04:48Z,2022-06-30T02:04:30Z
242,MD2B35304NCC17773,TEL,UPDATE SKIPPED,2022-06-29T22:46:36Z,2022-06-30T03:42:07Z
243,MD2B35305NCC17622,TEL,UPDATE SKIPPED,2022-06-29T21:36:30Z,2022-06-29T21:38:31Z
244,MD2B35306NCC18133,TEL,UPDATE SKIPPED,2022-06-29T21:28:30Z,2022-06-29T21:33:16Z
245,MD2B35307NCC16018,TEL,UPDATE SKIPPED,2022-06-29T21:17:36Z,2022-06-30T07:07:15Z
246,MD2B35304NCC18437,TEL,UPDATE SKIPPED,2022-06-29T21:16:56Z,2022-06-29T21:51:25Z
247,MD2B35308NCC16979,TEL,UPDATE SKIPPED,2022-06-29T21:10:12Z,2022-06-29T21:24:20Z
248,MD2B35308NCC17016,TEL,UPDATE SKIPPED,2022-06-29T21:05:47Z,2022-06-30T08:24:24Z
249,MD2B35302NCC18436,TEL,UPDATE SKIPPED,2022-06-29T20:59:23Z,2022-06-30T07:00:13Z
